Institute ID,Name,City,State,Score,Rank
IR-E-U-0456,Indian Institute of Technology MadrasMore Details |  |,Chennai,Tamil Nadu,88.72,1
IR-E-I-1074,Indian Institute of Technology DelhiMore Details |  |,New Delhi,Delhi,85.74,2
IR-E-U-0306,Indian Institute of Technology BombayMore Details |  |,Mumbai,Maharashtra,83.65,3
IR-E-I-1075,Indian Institute of Technology KanpurMore Details |  |,Kanpur,Uttar Pradesh,81.82,4
IR-E-U-0573,Indian Institute of Technology KharagpurMore Details |  |,Kharagpur,West Bengal,78.69,5
IR-E-U-0560,Indian Institute of Technology RoorkeeMore Details |  |,Roorkee,Uttarakhand,75.44,6
IR-E-U-0013,Indian Institute of Technology HyderabadMore Details |  |,Hyderabad,Telangana,72.31,7
IR-E-U-0053,Indian Institute of Technology GuwahatiMore Details |  |,Guwahati,Assam,72.24,8
IR-E-U-0467,National Institute of Technology TiruchirappalliMore Details |  |,Tiruchirappalli,Tamil Nadu,68.14,9
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) VaranasiMore Details |  |,Varanasi,Uttar Pradesh,67.24,10
IR-E-U-0391,Birla Institute of Technology & Science -PilaniMore Details |  |,Pilani,Rajasthan,67.02,11
IR-E-U-0273,Indian Institute of Technology IndoreMore Details |  |,Indore,Madhya Pradesh,66.65,12
IR-E-U-0357,National Institute of Technology RourkelaMore Details |  |,Rourkela,Odisha,66.62,13
IR-E-U-0473,S.R.M. Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,65.83,14
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines)More Details |  |,Dhanbad,Jharkhand,65.37,15
IR-E-U-0490,Vellore Institute of TechnologyMore Details |  |,Vellore,Tamil Nadu,65.25,16
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal More Details |  |",Surathkal,Karnataka,64.59,17
IR-E-U-0575,Jadavpur UniversityMore Details |  |,Kolkata,West Bengal,64.54,18
IR-E-U-0064,Indian Institute of Technology PatnaMore Details |  |,Patna,Bihar,64.52,19
IR-E-U-0439,Anna UniversityMore Details |  |,Chennai,Tamil Nadu,63.51,20
IR-E-U-0263,National Institute of Technology CalicutMore Details |  |,Kozhikode,Kerala,63.05,21
IR-E-U-0363,Siksha `O` AnusandhanMore Details |  |,Bhubaneswar,Odisha,62.58,22
IR-E-U-0436,Amrita Vishwa VidyapeethamMore Details |  |,Coimbatore,Tamil Nadu,62.46,23
IR-E-U-0108,Jamia Millia IslamiaMore Details |  |,New Delhi,Delhi,62.42,24
IR-E-U-0139,Indian Institute of Technology GandhinagarMore Details |  |,Gandhinagar,Gujarat,62.31,25
